domain,feature,ff,description
Scheduling,Event Attendees,event_attendees_limit_increased,allow to have event with more than 5 participants
Scheduling,Online Booking,online_scheduling,Allow Scheduling appointments from the client portal
Scheduling,Online Multi-Service Booking,multi_appointment_client_booking,Enable clients to book multiple appointments in a single visit
Scheduling,Booking Restrictions for New Clients,booking_restrictions_per_service,Option to restrict online scheduling for new clients (service level)
Scheduling,Custom Notification & Reminders,notifications_per_service,Edit text and configuration per service of client notifications
Scheduling,Custom Fields per Service,add_custom_field_service,Include add custom field service in plan
Scheduling,Waiting List,event_waitlist,Enable the option to activate the event waitlist feature
Scheduling,Arrival window,arrival_window,"Adds ability to set estimated arrival time on appt, service & businesses level"
Scheduling,Resources,pkg.sch.resources,"Resource management functionality allowing businesses to create, manage and allocate physical resources to services and appointments"
Scheduling,External Calendar Sync (Google and Outlook),external_calendar_sync,Include external calendar sync in plan
Scheduling,External Calendar Sync (Google and Outlook),googlewaysync_include_in_plan,Google Calendar synchronization app is included in the plan (without this flag the user will see upgrade banner)
Scheduling,External Calendar Sync (Google and Outlook),outlookwaysync_include_in_plan,Outlook Calendar synchronization app is included in the plan (without this flag the user will see upgrade banner)
Scheduling,Zoom,zoom_packageable,Enable zoom integration in specific packages
Scheduling,Zoom,old_integration_zoom_include_in_plan,Zoom app in the App Market (without this ff the user will see upgrade banner)
Payments,Payment Module,payments_module,main payments module feature flag
Payments,Payment Module,pkg.payments.promote,"Most payment-related features are hidden by default, though in certain cases an upgrade prompt is shown"
Payments,Invoicing,invoicing_features,Allow invoicing for an account (payments module sub feature)
Payments,Invoicing,invoices_monthly_unlimited,"Unlimited Invoices if no quota was defined, make sure invoice quota was defined if this was not added to the package"
Payments,Estimates,payments_feature_estimates,Allow estimates for an account (payments module sub feature)
Payments,Estimates,estimates_monthly_unlimited,Unlimited Estimates if no quota was defined.  Make sure estimate quota was defined if this was not added to the package
Payments,Save Cards,save_cards,Card on file (vault) - save client credit card info for future payments
Payments,Online Payments,online_payment,"Allow clients to pay using client portal, enable Payou form"
Payments,Recurring Payments,scheduled_payments,Recurring payment feature- adds a new quick action for recurring payments. Allowing the business to create recurring payment plans/ currently (jan24) available for vcita payments & stripe gateways
Payments,Templates (Invoices & Estimates Branding),pdf_customization,Invoices templates customization
Payments,Packages,booking_packages,"Track and manage package offers. Sell future visits, sessions and services in bulk (payments sub feature)"
Payments,Coupons,coupons,Allow adding coupons
Payments,Auto Billing Workflows,automated_close_balance,Automated billing feature
Payments,Work Order,eligible_for_work_order,Flag to allow the business view a work order
Communication,SMS Module,sms_enabled,The FF will disable all system entry points to booking confirmations and prompt the upgrade banner
Communication,SMS Module,sms_deduct_all_chargeables,"deduct all chargeable sms from sms quota (campaigns, reminders, confirmation etc). relevant only for manual directories"
Communication,SMS Module,purchase_sms_credits,Allows directories to use quota (only campaign sms will be taken off the quota)
Communication,SMS reminders (for Bookings and Payments),sms_client_reminders,Allow turning on client reminders
Communication,SMS Campaigns,hide_sms_channel_from_marketing,"This option hides SMS channels from the marketing module, both from auto-campaigns and announcements"
Communication,Thryv,tatango,Enable integration with Tatango for SMS campaigns and Opt-in by keyword (US only)
Communication,Thryv,dedicated_promotional_number,Feature will assign a dedicated nexmo number for promotional campaigns
Communication,Thryv,bye_zipwip,migrate zipwip to twilio
Communication,Thryv,disable_messages_notifications,"disable sending and setting ""messages"" notifications"
Communication,Mute,mute,Mutes the account from sending and receiving emails (both emails to business and clients)
Marketing,Marketing Module,marketing_module,"To enable the restriction, it's required to *remove* marketing_module feature flag from the relevant plan"
Marketing,Marketing Module,pkg.marketing.promote,Displays the Marketing menu item to users without access and invites them to upgrade
Marketing,Campaign Recipients,campaign_recipients_monthly_unlimited,Unlimited Campaign recipient if no monthly quota was defined. Make sure Campaign recipient quota was defined if this was not added to the package
Marketing,Email Campaigns,blasts,"Open Announcment options, with out blast the user will get the quota of campaign credits (by default 3)"
Marketing,Automated Campaigns,activate_automatic_campaigns,"Allow business to activate an automatic campaign, without it there is no automatic campaign to the business but it will be displayed in UI for upsell"
Marketing,Automated Campaigns,create_delete_automatic_campaigns,Allow business to create or delete Automatic campaign
Marketing,Thryv - Pro Campaigns (as an addon),pro_campaigns,Pro campaigns app
Marketing,Thryv - Pro Campaigns (as an addon),send_pro_campaigns,Send pro campaigns
Marketing,Thryv - Pro Campaigns (as an addon),ace_add_on,Enable ACE as Add-on
Business Administration,Multi Staff,multistaff_features,Allow adding staff
Business Administration,Multi Staff,joint_availability,Client can see availability for all staff (Allow checking the joint availaibility checkbox)
Business Administration,Multi Staff,staff_role_permissions,Allow assigning role of staff members
Business Administration,Multi Staff,auto_reassign,Auto assign client to his staff members based on business setting
Business Administration,App Market,app_market_available,vcita App Market (available on the menu)
Business Administration,Reports,reports,Enabling Reports on the menu
Business Administration,Reports,detailed_reports,Ability to open the actual reports
Business Administration,Quick actions,pkg.business_administration.quick_actions,"Shows the quick actions widget, the main menu quick actions button, and other quick actions buttons in conversation, inbox, and other places"
Business Administration,Integrations card,pkg.business_administration.integrations,Allow the business to access the integrations category from the settings page
Business Administration,Business management upsell,pkg.bizmanagement.promote,"Reveals UI elements, as client card tabs with an upsell banner, prompting an upgrade to the Business Management package"
Business Administration,Onboarding wizard,pkg.business_administration.registration_wizard.deny,Do not add the registration wizard for a business at account creation
Business Administration,Onboarding wizard,pkg.business_administration.slim_registration_wizard,"When the FF is applied to a package, only business info and profession steps are available in the registration wizard"
Business Administration,Getting Started wizard,pkg.business_administration.getting_started.deny,"Hides the ""getting started"" wizard from the main and profile menus"
Business Administration,Getting Started wizard,setup_wizard_menu_item,Setup wizard menu item in pov menu
Business Administration,Pendo,pkg.bus.pendo.deny,Pendo is a 3rd party tool that helps users on-board and learn about new features
Business Administration,Static Page,static_page,"Shows a single page experience for user, according to the url on directory settings"
Business Administration,vcita - Hide Powered By vcita,no_powered_by,"Ability to remove vcita ""powered by"" links. Relevant only to vcita users"
Business Administration,vcita - Backoffice Branding,backoffice_branding,Allow back-office branding (Frontage)
Business Administration,Thryv - Websites,websites_enabled,Presents 'websites' button under online presence (For Thryv only)
Business Administration,Thryv - External New Staff URL,external_new_staff_url,Enables external new staff url configuration per directory (used by Thryv)
Trial \ Spam prevention,Block Phone Numbers in Messages,block_phone_numbers_in_messages,Block phone numbers in messages
Trial \ Spam prevention,Limit CRM Bulk Actions,pkg.crm.limit_bulk_actions,"Limits trial users from bulk actions. When enabled, only single-client selection is allowed, and bulk communication options (send message, share document, invite to pay) are disabled"
Trial \ Spam prevention,Limit Document Sharing,limit_document_sharing,Flag to limit sharing documents
Trial \ Spam prevention,Block Links in Messages,allow_to_send_link,Enable embeding of links in messages without 30 day wait or payment limitation
Other,Basic Business Features,basic_business_features,"Privilege to turn on reminder in cliche, email signature in vCita, Allow business to mark message as read/unread"
Other,Lead Gen Features,lead_gen_features,"Client Source, Conversation Follow up, Private Notes"
Other,Ultimate Features,ultimate_features,"Email template editing in cliche, Setting Service image"
Other,No Promotional Links,no_promotional_links,Remove vCita promotional links (automatically removed in WLs)
Other,Business Hours,business_hours,Allow modification of the business hours
Other,Free Features,free_features,"Privilege to turn on reminder in cliche, email signature in vCita, Allow business to mark message as read/unread"
Other,Thryv - command_center,command_center,"Thryv only - for command center usage (hides inbox, hides SMS settings etc)"
Other,Thryv - Soci,soci,Add social content platform (For Thryv only)
Other,Thryv - Yext Reviews,yext_reviews,View Yext reviews (For Thryv only)
Other,Thryv - Yext Reviews,pkg.thryv.listings_settings,Show listing settings tile in settings page
Other,Thryv - Yext Reviews,reviews_respond,Allow to responding to review directly from the system (For Thryv only)
Other,Thryv - Yext Reviews,review_publishing,Allow publishing review using Yext in the live site (For Thryv only)
Other,Thryv - ThryvPay,thryv_pay,Gives (any) user access to ThryvPay and Scheduled Payments under Sales (if payments enabled)
Other,Thryv - ThryvPay,ThryvPay_wizards,Thryv pay for 'Core wizard' and 'Payments wizard'
Other,Thryv - Referral widget,pkg.thryv.referral_widget,Enable Thryv referral widget button at the top bar
Other,FCR - Yext,yextApp_include_in_plan,Yext App (non Thryv accounts)
Other,FCR - Mono web builder,monowebbuilder_include_in_plan,Mono web builder (FCR's appliction)
Other,vcita - basic_white_label,basic_white_label,"Used in Admin form , set the account to manual type if the flag exists and it is white label or direcroty admin"
